URL,Title,Rating,Reviews,Original Price,Price,Price/Oz,SNAP Eligible
https://www.amazon.com/s?k=Stouffer%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AStouffer%27s,STOUFFER'S Large Family Size Lasagna With Meat Sauce 57 Oz. Box,4.6,"1,121",$16.49,$14.79,$0.26,Yes
https://www.amazon.com/s?k=Marie+Callender%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AMarie+Callender%27s,"Marie Callender's Italiano Lasagna With Ricotta Cheese, Frozen Meal, 10.5 oz",4.3,"1,302",,$3.39,$0.32,Yes
https://www.amazon.com/s?k=lean+cuisine&i=grocery&bbn=10329849011&rh=p_89%3ALean+Cuisine,"Lean Cuisine Bowls Roasted Turkey and Vegetables Frozen Meal, 10 Ounce",4.4,376,,$4.59,$0.46,Yes
https://www.amazon.com/s?k=lean+cuisine&i=grocery&bbn=10329849011&rh=p_89%3ALean+Cuisine,"Lean Cuisine Favorites Chicken Fettuccini, Frozen Meal with No Preservatives, Delicious Pasta, Ready in Minutes, Meals-Entrees, 9.25 Oz",4.5,"1,786",,$3.59,$0.39,Yes
https://www.amazon.com/s?k=Stouffer%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AStouffer%27s,Stouffer's Lasagna with Meat Sauce Frozen Meal,4.6,"3,491",$5.99,$5.39,$0.28,Yes
https://www.amazon.com/s?k=Stouffer%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AStouffer%27s,Stouffer's Lasagna with Meat Sauce Frozen Meal,4.5,"7,492",,$3.79,$0.36,Yes
https://www.amazon.com/s?k=Stouffer%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AStouffer%27s,Stouffer's Spaghetti with Meat Sauce Frozen Meal,4.5,"2,751",,$3.79,$0.32,Yes
https://www.amazon.com/s?k=Stouffer%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AStouffer%27s,Stouffer's Party Size Lasagna with Meat Sauce Frozen Meal,4.7,"1,727",,$19.79,$0.22,Yes
https://www.amazon.com/s?k=Marie+Callender%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AMarie+Callender%27s,"Marie Callender's Aged Cheddar Cheesy Chicken & Rice Bowl, Frozen Meals, 12 oz, (frozen)",4.4,"1,962",,$4.29,$0.36,Yes
https://www.amazon.com/s?k=Marie+Callender%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AMarie+Callender%27s,"Marie Callender's Slow Roasted Beef Pot Roast Bowl, Frozen Meals, 11 oz, (frozen)",4.3,"2,045",$4.79,$4.29,$0.39,Yes
https://www.amazon.com/s?k=Marie+Callender%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AMarie+Callender%27s,"Marie Callender's Duos, Creamy Pesto Chicken & Four Cheese Ravioli, Frozen Meal, 14 oz",4.5,12,,$4.99,$0.36,Yes
https://www.amazon.com/s?k=Marie+Callender%E2%80%99s&i=grocery&bbn=10329849011&rh=p_89%3AMarie+Callender%27s,"Marie Callender's Frozen Meal, Chicken Pot Pie, 15 oz",4.6,"3,251",,$4.69,$0.31,Yes
