Company,Title,Location,Salary
metacareers,AI Specialist - Compiler,"Sunnyvale, CA; Redmond, WA; Menlo Park, CA; Seattle, WA; Remote, US","$173,000/year to $241,000/year + bonus + equity + benefits"
metacareers,Optical Process Engineer,"Shanghai, China",
metacareers,"Technical Artist, Avatars","Remote, Poland; Remote, Sweden; Remote, Ireland; Remote, Spain; Remote, UK; London, United Kingdom",
metacareers,"Technical Program Manager, Data Systems Collection","Redmond, WA","$132,000/year to $196,000/year + bonus + equity + benefits"
metacareers,Product Design Prototyper,"Remote, Poland; Remote, Sweden; Remote, Ireland; Remote, Spain; Remote, UK; London, United Kingdom",
metacareers,"Research Scientist Intern, Computer Vision/Deep Learning (PhD)","Seattle, WA; Burlingame, CA","$7,650/month to $10,250/month + benefits"
metacareers,"Research Scientist, Neuromotor Interfaces, ML & Signal Processing","Burlingame, CA; New York, NY","$173,000/year to $241,000/year + bonus + equity + benefits"
metacareers,AI Residency Program (University Grad),"London, United Kingdom",
metacareers,"Product Manager, Instagram Camera","Remote, US","$171,000/year to $232,000/year + bonus + equity + benefits"
metacareers,Silicon Physical Design Engineer,"Sunnyvale, CA; Redmond, WA; Austin, TX; Remote, US","$136,000/year to $195,000/year + bonus + equity + benefits"
metacareers,"Technical Program Manager, AR/VR Optical Module Hardware","Redmond, WA","$132,000/year to $196,000/year + bonus + equity + benefits"
metacareers,AI Research Scientist,,
metacareers,"TPM Manager, Optics & Display Research, Reality Labs","Sunnyvale, CA; Los Angeles, CA; Redmond, WA; Menlo Park, CA; Seattle, WA; Burlingame, CA; Boston, MA; New York, NY; Remote, US","$193,000/year to $259,000/year + bonus + equity + benefits"
metacareers, Sanzaru Games Producer,"Foster City, CA; Remote, US","$124,000/year to $174,000/year + bonus + equity + benefits"
metacareers,"Product Manager, Instagram Camera","Remote, US","$171,000/year to $232,000/year + bonus + equity + benefits"
metacareers,Site Selection Leasing Manager,"Bellevue, WA; Seattle, WA; Fremont, CA; Remote, US","$121,000/year to $172,000/year + bonus + equity + benefits"
metacareers,Process Application Engineer - Lithography ,"Redmond, WA","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,Silicon Prototyping FPGA Engineer,"Sunnyvale, CA; Austin, TX; Burlingame, CA","$136,000/year to $195,000/year + bonus + equity + benefits"
metacareers,Data Center Capacity Planner,"Bellevue, WA; Fremont, CA","$127,000/year to $186,000/year + bonus + equity + benefits"
metacareers,Data Center Logistics Analyst,"Newton County, GA; Huntsville, AL","$80,330/year to $133,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, CV and Machine Perception (PhD)","Sunnyvale, CA; Redmond, WA","$7,650/month to $10,250/month + benefits"
metacareers,Data Center Site Coordinator,"Ashburn, VA","$84,843/year to $133,000/year + bonus + equity + benefits"
metacareers,Silicon Engineering Manager,"Tel Aviv, Israel",
metacareers,"Engineering Manager, Computer Vision","Redmond, WA; Seattle, WA; Burlingame, CA; Remote, US","$173,000/year to $241,000/year + bonus + equity + benefits"
metacareers,"Sales Manager, B2B, Reality Labs","London, United Kingdom",
metacareers,Regional Environmental Engineer,"Redmond, WA","$136,000/year to $194,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Machine Perception for Input and Interaction (PhD)","Sausalito, CA; Redmond, WA","$7,650/month to $10,250/month + benefits"
metacareers,"Data Scientist, Machine Learning","Sunnyvale, CA; Menlo Park, CA; Seattle, WA; New York, NY; San Francisco, CA; Remote, US","$197,000/year to $269,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Device Research (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Optical Design (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Eye Tracking Applications Research (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Postdoctoral Researcher, Artificial Intelligence (PhD)",,
metacareers,Research Product Manager,"Pittsburgh, PA","$171,000/year to $232,000/year + bonus + equity + benefits"
metacareers,"Business Lead, RL Sales","Burlingame, CA","$142,000/year to $201,000/year + bonus + equity + benefits"
metacareers,Data Engineer,"Bellevue, WA; Fremont, CA; Remote, US","$134,000/year to $194,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Human-Computer Interaction (PhD)","Redmond, WA","$7,500/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, III-Nitrides Epitaxy (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,Product Manager,"Menlo Park, CA","$197,000/year to $270,000/year + bonus + equity + benefits"
metacareers,Graphics Software Engineer - Rendering,"Redmond, WA; Burlingame, CA; Remote, US","$173,000/year to $241,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Optoelectronic Device Design (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Manager, Display Mixed-Signal Silicon Architect","Sunnyvale, CA; Redmond, WA; Remote, US","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,"Manager, Research & Development","Fremont, CA","$196,000/year to $269,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Waveguide Design (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Director, Product Technical Program Management","Bellevue, WA; Menlo Park, CA; Seattle, WA; Boston, MA; New York, NY; San Francisco, CA; Remote, US","$233,000/year to $297,000/year + bonus + equity + benefits"
metacareers,Network Operations Engineer,"Gallatin, TN; Fremont, CA","$105,000/year to $155,000/year + bonus + equity + benefits"
metacareers,"Visiting Researcher, AI Mentorship Program, UW (University Grad)","Seattle, WA","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,Facility Process Coordinator,"Prineville, OR","$84,843/year to $133,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Optical Instrumentation (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,Epitaxial Scientist,"Redmond, WA","$143,000/year to $196,000/year + bonus + equity + benefits"
metacareers,Critical Facility Engineer,"DeKalb, IL","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,"Research Scientist Intern, Dynamic Systems (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Manager, Regional Environmental Health and Safety","Redmond, WA","$165,000/year to $232,000/year + bonus + equity + benefits"
metacareers,Infrastructure Materials Manager,"Fremont, CA; Remote, US","$113,000/year to $160,000/year + bonus + equity + benefits"
metacareers,Corporate FP&A Manager,"Bellevue, WA; Austin, TX; Menlo Park, CA; New York, NY; San Francisco, CA; Remote, US","$168,000/year to $234,000/year + bonus + equity + benefits"
metacareers,"Program Manager, Strategy Lead, Resource Planning & Development","Remote, US","$143,000/year to $199,000/year + bonus + equity + benefits"
metacareers,"Manager, TPM Depth Team, Reality Labs","Sunnyvale, CA; Redmond, WA; Remote, US","$167,000/year to $228,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Sensor Hardware (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Perceptual Audio Research (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Sensor Data Analysis (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Sensor Algorithms (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,SiteOps Global Systems Engineer,"Los Lunas, NM; US - NM - Los Lunas Data Center; Sarpy County, NE; Henrico, VA; Mesa, AZ; Kansas City, MO; Dallas, TX; Santa Clara, CA; US - NM - Valencia County Data Center; Ashburn, VA; Temple, TX; Newton County, GA; US - OR - Hillsboro Data Ctr; Gallatin, TN; Reston, VA; Forest City, NC; Prineville, OR; Fort Worth, TX; DeKalb, IL; Chicago, IL; Altoona, IA; Fremont, CA; Huntsville, AL; Eagle Mountain, Utah; US - TX - Houston Data Center; Kuna, ID","$124,000/year to $191,000/year + bonus + equity + benefits"
metacareers,Gameplay Programmer - Sanzaru,"Foster City, CA; Remote, US","$129,000/year to $184,000/year + bonus + equity + benefits"
metacareers,Lead Electrical Subject Matter Expert,"DeKalb, IL","$110,000/year to $156,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Audio User Experience (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,SiteOps Data Center Production Operations Engineer,"Ashburn, VA","$66,560/year to $99,840/year + bonus + equity + benefits"
metacareers,Campus Construction Manager,"Kansas City, MO; Forest City, NC; DeKalb, IL; Altoona, IA; Eagle Mountain, Utah","$170,000/year to $228,000/year + bonus + equity + benefits"
metacareers,Critical Facility Engineer,"Prineville, OR","We apologize for the inconvenience, please be patient as we work to correct the issue."
metacareers,"Director, Camera & Depth Sub-module Engineering, Cameras & Depth, RL","Sunnyvale, CA; Redmond, WA","$243,000/year to $305,000/year + bonus + equity + benefits"
