Company,Title,Location,Salary
Microsoft,Principal Designer,"Redmond, Washington, United States","Product Design IC5 - The typical base pay range for this role across the U.S. is USD $133,600 - $256,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $173,200 - $282,200 per year."
Microsoft,Product Designer 2,"Redmond, Washington, United States","Product Design IC3 - The typical base pay range for this role across the U.S. is USD $94,300 - $182,600 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $120,900 - $198,600 per year."
Microsoft,Critical Environment Program Manager,"San Antonio, Texas, United States",
Microsoft,Senior Incident Response Handler,"Redmond, Washington, United States","Security Operations Engineering IC4 - The typical base pay range for this role across the U.S. is USD $112,000 - $218,400 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $145,800 - $238,600 per year."
Microsoft,Senior Security Incident Handler,"Redmond, Washington, United States","Security Operations Engineering IC4 - The typical base pay range for this role across the U.S. is USD $112,000 - $218,400 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $145,800 - $238,600 per year."
Microsoft,Senior Software Engineer,"Redmond, Washington, United States","Software Engineering IC4 - The typical base pay range for this role across the U.S. is USD $112,000 - $218,400 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $145,800 - $238,600 per year."
Microsoft,"Sr. Director, Web Marketing Campaigns","Multiple Locations, Multiple Locations, United States","Integrated Marketing M6 - The typical base pay range for this role across the U.S. is USD $152,300 - $266,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $194,800 - $292,200 per year."
Microsoft,Construction Manager US-East,"Ashburn, Virginia, United States",
Microsoft,Senior Data Engineer,"Redmond, Washington, United States; Reston, Virginia, United States; Atlanta, Georgia, United States","Data Engineering IC4 - The typical base pay range for this role across the U.S. is USD $112,000 - $218,400 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $145,800 - $238,600 per year."
Microsoft,"Corporate Counsel, Global Privacy Policy","Redmond, Washington, United States","Legal Counsel IC3 - The typical base pay range for this role across the U.S. is USD $101,200 - $194,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $130,000 - $213,200 per year."
Microsoft,Senior Software Engineer,"Vancouver, British Columbia, Canada",
Microsoft,Organizational Change Management Engagement Lead,"Redmond, Washington, United States","Technical Solution Management IC5 - The typical base pay range for this role across the U.S. is USD $112,200 - $194,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $142,200 - $213,200 per year."
Microsoft,Senior Critical Environment Technician,"Sydney, New South Wales, Australia",
Microsoft,Principal Software Engineer,"Redmond, Washington, United States","Software Engineering IC6 - The typical base pay range for this role across the U.S. is USD $158,500 - $276,600 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $202,800 - $304,200 per year."
Microsoft,Data Center Technician I,"Boydton, Virginia, United States",
Microsoft,Critical Environment Technician,"Phoenix, Arizona, United States",
Microsoft,Regional DC Technician Senior,"Quincy, Washington, United States","Data Center Technicians ATR-D - The typical base pay range for this role across the U.S. is USD $31.00 - $53.95 per hour. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $42.50 - $59.80 per hour."
Microsoft,Principal Product Management Lead,"Redmond, Washington, United States",
Microsoft,Principal Software Engineering Manager,"Zürich, Zürich, Switzerland",
Microsoft,Regional Environmental PM,"Dublin, Dublin, Ireland",
Microsoft,Software Engineer II,"Redmond, Washington, United States; Austin, Texas, United States; Houston, Texas, United States; Atlanta, Georgia, United States; Raleigh, North Carolina, United States; Dallas, Texas, United States; Mountain View, California, United States; Los Angeles, California, United States; Boston, Massachusetts, United States; Miami, Florida, United States; Chicago, Illinois, United States; New York, New York, United States; Long Island, New York, United States; Portland, Oregon, United States; Baton Rouge, Louisiana, United States; Detroit, Michigan, United States",
Microsoft,Regional Benefits Manager Americas,"Mexico City, México, Mexico",
Microsoft,Research Software Engineer II – Systems – Microsoft Research,"Redmond, Washington, United States","Software Engineering IC3 - The typical base pay range for this role across the U.S. is USD $94,300 - $182,600 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $120,900 - $198,600 per year."
Microsoft,Datacenter-  Logistics Technician (Asset and Inventory),"Cape Town, Western Cape, South Africa",
Microsoft,"Senior Product Designer, Consumer Design - Teams","Bellevue, Washington, United States",
Microsoft,Viva Pulse Senior Software Engineer - Full Stack (Redmond or Remote),"Redmond, Washington, United States","Software Engineering IC4 - The typical base pay range for this role across the U.S. is USD $112,000 - $218,400 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $145,800 - $238,600 per year."
Microsoft,Senior Designer,"Hyderabad, Telangana, India",
Microsoft,Software Engineer II - Poly - CTJ,"Reston, Virginia, United States; Redmond, Washington, United States",
Microsoft,Telecom Service Delivery Specialist,"Redmond, Washington, United States",
Microsoft,Principal Software Engineer Architect - Microsoft Sentinel,"Multiple Locations, Multiple Locations, Israel",
Microsoft,Software Engineer,"Prague, Prague, Czech Republic",
Microsoft,Senior Software Engineer,"Prague, Prague, Czech Republic",
Microsoft,CE Electrical Engineer (Energy Marshall),"Amsterdam, Noord-Holland, Netherlands",
Microsoft,Customer Engineer for ISVs and Startups,"Bangalore, Karnataka, India; Multiple Locations, Multiple Locations, India",
Microsoft,"Assistant General Counsel, CELA Lead for Asia Pacific (APAC)","Singapore (APAC-HQ), Singapore, Singapore",
Microsoft,"Site Environmental, Health, and Safety (EHS) Manager","Singapore, Singapore, Singapore",
Microsoft,"Senior Energy Program Manager / Energy Program Manager, APAC","Multiple Locations, Multiple Locations, Singapore",
Microsoft,Data & Applied Scientist,"Hyderabad, Telangana, India; Bangalore, Karnataka, India",
Microsoft,Software Engineer,"Bangalore, Karnataka, India",
Microsoft,Software Engineer 2,"Redmond, Washington, United States","Software Engineering IC3 - The typical base pay range for this role across the U.S. is USD $94,300 - $182,600 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $120,900 - $198,600 per year."
Microsoft,Senior Product Manager,"Nairobi, Nairobi City, Kenya",
Microsoft,Product Manager,"Nairobi, Nairobi City, Kenya",
Microsoft,DC I&A Tech Manager,"Bothell, Washington, United States",
Microsoft,Senior Business Program Manager,"Redmond, Washington, United States","Risk Management IC5 - The typical base pay range for this role across the U.S. is USD $112,200 - $194,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $142,200 - $213,200 per year. Microsoft has different base pay ranges for different work locations within the United States, which allows us to pay employees competitively and consistently in different geographic markets (see below). The range above reflects the potential base pay across the U.S. for this role (except as noted below); the applicable base pay range will depend on what ultimately is determined to be the candidate’s primary work location. Individual base pay depends on various factors, in addition to primary work location, such as complexity and responsibility of role, job duties/requirements, and relevant experience and skills. Base pay ranges are reviewed and typically updated each year. Offers are made within the base pay range applicable at the time. At Microsoft certain roles are eligible for additional rewards, including merit increases, annual bonus and stock. These awards are allocated based on individual performance. In addition, certain roles also have the opportunity to earn sales incentives based on revenue or utilization, depending on the terms of the plan and the employee’s role. Benefits/perks listed here may vary depending on the nature of employment with Microsoft and the country work location. U.S.-based employees have access to medical, dental, and vision insurance, a 401(k) plan and company match, short-term and long-term disability coverage, basic life insurance, and wellbeing benefits, among others. U.S.-based employees also receive up to 10 paid holidays, accrue up to 15 paid vacation days, and receive up to 80 hours paid sick time (front-loaded) per calendar year. Our commitment to pay equity We are committed to the principle of pay equity – paying employees equitably for substantially similar work. To learn more about pay equity and our other commitments to increase representation and strengthen our culture of inclusion, check out our annual Diversity & Inclusion Report. ( https://www.microsoft.com/en-us/diversity/inside-microsoft/annual-report )"
Microsoft,Principal Product Manager,"Bellevue, Washington, United States","Product Management IC5 - The typical base pay range for this role across the U.S. is USD $133,600 - $256,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $173,200 - $282,200 per year."
Microsoft,CE Technician 1,"Des Moines, Iowa, United States","Data Center Technicians ATR-B - The typical base pay range for this role across the U.S. is USD $20.50 - $32.40 per hour. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $27.00 - $34.80 per hour."
Microsoft,Site Reliability Engineer,"Multiple Locations, Multiple Locations, United States",
Microsoft,Software Engineer 2,"Multiple Locations, Multiple Locations, United States","Software Engineering IC3 - The typical base pay range for this role across the U.S. is USD $94,300 - $182,600 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $120,900 - $198,600 per year."
Microsoft,Principal PdM Manager,"Redmond, Washington, United States",
Microsoft,Principal Software Engineer,"Redmond, Washington, United States","Software Engineering IC5 - The typical base pay range for this role across the U.S. is USD $133,600 - $256,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $173,200 - $282,200 per year."
Microsoft,Software Engineer II,"Vancouver, British Columbia, Canada",
Microsoft,Principal Software Engineer,"Vancouver, British Columbia, Canada",
Microsoft,Senior Software Engineer,"Vancouver, British Columbia, Canada",
Microsoft,Principal Software Engineering,"Redmond, Washington, United States",
Microsoft,Senior Business Program Manager,"Redmond, Washington, United States","Business Program Management IC4 - The typical base pay range for this role across the U.S. is USD $91,800 - $178,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $117,900 - $195,000 per year."
Microsoft,Customer Experience Program Manager,"Redmond, Washington, United States","Customer Experience Program Mgmt IC4 - The typical base pay range for this role across the U.S. is USD $112,000 - $218,400 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $145,800 - $238,600 per year."
Microsoft,DC Technician I,"Phoenix, Arizona, United States",
Microsoft,Datacenter Campus Construction Project Manager - Malmo,"Lund, Skåne, Sweden",
Microsoft,"Technical Specialist, Defender for IoT","Multiple Locations, Multiple Locations, United States","Solution Area Specialists IC5 - The typical base pay range for this role across the U.S. is USD $122,400 - $216,500 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $166,100 - $235,000 per year."
Microsoft,Senior Product Manager,"Vancouver, British Columbia, Canada",
Microsoft,Principal PM Manager,"Redmond, Washington, United States","Product Management IC5 - The typical base pay range for this role across the U.S. is USD $133,600 - $256,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $173,200 - $282,200 per year."
Microsoft,"Principal Group Manager, Product Management","Redmond, Washington, United States; Atlanta, Georgia, United States; Chicago, Illinois, United States; Dallas, Texas, United States; Charlotte, North Carolina, United States; Houston, Texas, United States; New York, New York, United States; Portland, Oregon, United States; San Francisco, California, United States; Los Angeles, California, United States","Product Management M6 - The typical base pay range for this role across the U.S. is USD $158,500 - $276,600 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $202,800 - $304,200 per year."
Microsoft,Data Center Technician,"London, London, United Kingdom",
Microsoft,Business Administrator,"Redmond, Washington, United States","Business Support ATR-C - The typical base pay range for this role across the U.S. is USD $22.79 - $39.66 per hour. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $33.03 - $45.91 per hour."
Microsoft,Principal Software Engineering Manager - Azure Networking,"Atlanta, Georgia, United States",
Microsoft,"Senior Lease Programme Manager, Central Europe","Frankfurt, Hessen, Germany; Munich, Bavaria, Germany; Stuttgart, Baden-Württemberg, Germany; Walldorf, Baden-Württemberg, Germany; Hamburg, Hamburg, Germany; Cologne, North Rhine-Westphalia, Germany; Berlin, Berlin, Germany",
Microsoft,Logistics Technician,"London, London, United Kingdom",
Microsoft,Network Engineer II,"Noida, Uttar Pradesh, India",
Microsoft,Integration technical infrastructure manager,"Vienna, Wien, Austria",
Microsoft,Software Engineer II,"Noida, Uttar Pradesh, India",
Microsoft,Software Engineer,"Noida, Uttar Pradesh, India",
Microsoft,Senior Software Engineer,"Noida, Uttar Pradesh, India",
Microsoft,Senior Software Engineer,"Hyderabad, Telangana, India; Noida, Uttar Pradesh, India; Bangalore, Karnataka, India",
Microsoft,Principal Software Engineer,"Hyderabad, Telangana, India",
Microsoft,Senior Software Engineer,"Bangalore, Karnataka, India",
Microsoft,Senior Software Engineer,"Bangalore, Karnataka, India",
Microsoft,Senior Software Engineer,"Noida, Uttar Pradesh, India",
Microsoft,Datacenter Inventory & Asset Technician,"Pune, Maharashtra, India",
Microsoft,Principal Firmware Engineer,"Bangalore, Karnataka, India",
Microsoft,Senior Product Manager,"Noida, Uttar Pradesh, India",
Microsoft,Senior Product Manager,"Suzhou, Jiangsu, China",
Microsoft,Sr. Market Research Manager,"Redmond, Washington, United States","Market Research IC4 - The typical base pay range for this role across the U.S. is USD $101,200 - $194,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $130,000 - $213,200 per year."
Microsoft,Principal Supply Chain Solution Architect,"Redmond, Washington, United States; Austin, Texas, United States; Atlanta, Georgia, United States","Software Engineering IC5 - The typical base pay range for this role across the U.S. is USD $133,600 - $256,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $173,200 - $282,200 per year."
Microsoft,Senior Critical Environment Technician,"Kuala Lumpur, Selangor, Malaysia",
Microsoft,Sr. Business Program Manager,"Redmond, Washington, United States","Business Program Management IC4 - The typical base pay range for this role across the U.S. is USD $91,800 - $178,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $117,900 - $195,000 per year."
Microsoft,Software Engineer II,"Vancouver, British Columbia, Canada",
Microsoft,Director of Data and AI Startups,"Redmond, Washington, United States; Raleigh, North Carolina, United States; Philadelphia, Pennsylvania, United States; Detroit, Michigan, United States; Chicago, Illinois, United States; San Francisco, California, United States; Los Angeles, California, United States",
Microsoft,Azure ACE Engineer,"Redmond, Washington, United States","Customer Engineering IC5 - The typical base pay range for this role across the U.S. is USD $124,800 - $242,600 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $159,000 - $264,000 per year."
Microsoft,Critical Environment Technician,"Auckland, Auckland, New Zealand",
Microsoft,Director - Consumer Monetization & Business Planning,"Redmond, Washington, United States",
Microsoft,CELA PRA Privacy Operations – Privacy Program Manager,"Redmond, Washington, United States","Business Program Management IC4 - The typical base pay range for this role across the U.S. is USD $91,800 - $178,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $117,900 - $195,000 per year."
Microsoft,Software Engineer,"Mexico City, México, Mexico; Multiple Locations, Multiple Locations, Brazil; Multiple Locations, Multiple Locations, Costa Rica; Multiple Locations, Multiple Locations, Puerto Rico; Multiple Locations, Multiple Locations, Argentina; Multiple Locations, Multiple Locations, Dominican Republic",
Microsoft,Production Director – Gears of War – The Coalition,"Vancouver, British Columbia, Canada",
Microsoft,Land Program Manager,"Redmond, Washington, United States; Multiple Locations, Multiple Locations, United States","Real Estate Portfolio Management IC3 - The typical base pay range for this role across the U.S. is USD $72,800 - $144,000 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $95,100 - $157,900 per year."
Microsoft,Global Transaction Review Lead,"Redmond, Washington, United States; Multiple Locations, Multiple Locations, United States","Real Estate Portfolio Management IC4 - The typical base pay range for this role across the U.S. is USD $91,800 - $178,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $117,900 - $195,000 per year."
Microsoft,Business Program Manager,"Redmond, Washington, United States",
Microsoft,Senior Dynamics 365 Advanced Cloud Engineer - CTJ,"Redmond, Washington, United States; Reston, Virginia, United States; Atlanta, Georgia, United States; Elkridge, Maryland, United States",
Microsoft,Principal Firmware Architect,"Redmond, Washington, United States; Multiple Locations, Multiple Locations, United States","Software Engineering IC5 - The typical base pay range for this role across the U.S. is USD $133,600 - $256,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $173,200 - $282,200 per year."
Microsoft,Sr. Software Engineering,"Redmond, Washington, United States",
Microsoft,Principal Software Engineering,"Redmond, Washington, United States",
Microsoft,Principal Program Manager,"Redmond, Washington, United States","Technical Program Management M5 - The typical base pay range for this role across the U.S. is USD $133,600 - $256,800 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $173,200 - $282,200 per year."
Microsoft,Product Manager 2,"Redmond, Washington, United States","Product Management IC3 - The typical base pay range for this role across the U.S. is USD $94,300 - $182,600 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $120,900 - $198,600 per year."
Microsoft,Technical Program Manager - Microsoft Azure Core team,"Bucharest, Bucharest, Romania",
Microsoft,Senior Technical Program Manager - Microsoft Azure Core team,"Bucharest, Bucharest, Romania",
